,id,resposta,ner_tags
0,1," [('T': 'PESSOA', 'E': 'AUGUSTO NARDES'), ('T': 'ORGANIZACAO', 'E': 'TCSP'), ('T': 'TEMPO', 'E': '11/05/2016'), ('T': 'PESSOA', 'E': 'Ana Arraes')]",['o']
1,2," [('PESSOA', 'Interessado'), ('PESSOA', 'Responsável'), ('PESSOA', 'Recorrente')]",['o']
2,3," [('PESSOA', 'Interessados/Responsáveis/Recorrentes'), ('TEMPO', '3.1')]",['o']
3,4," [('ORGANIZACAO', 'Superior Tribunal Militar'), ('LEGISLACAO', '00.497.560/0001-01'), ('TEMPO', '3.2')]",['o']
4,5," [('PESSOA', 'Aldo da Silva Fagundes'), ('PESSOA', 'Antonio Carlos de Nogueira'), ('PESSOA', 'Carlos Aureliano Motta de Souza'), ('PESSOA', 'Carlos de Almeida Baptista'), ('PESSOA', 'Edson Alves Mey'), ('ORGANIZACAO', 'Grupo Ok Construções e Empreendimentos Ltda.'), ('PESSOA', 'Luiz de Oliveira Alves'), ('PESSOA', 'Raul Lopes Biangolino')]",['o']
5,6," [('PESSOA', 'Carlos Aureliano Motta de Souza'), ('LEGISLACAO', '090.118.467-53')].",['o']
6,7," [('Organização', 'Superior Tribunal Militar')].",['o']
7,8," [('PESSOA', 'Representante'), ('ORGANIZACAO', 'Ministério Público'), ('PESSOA', 'Subprocuradora-Geral'), ('PESSOA', 'Cristina Machado da Costa e Silva')]",['o']
8,9," [('PESSOA', 'Unidade'), ('ORGANIZACAO', 'SERUR'), ('ORGANIZACAO', 'Secretaria'), ('ORGANIZACAO', 'SecexDefes')]",['o']
9,10," [('PESSOA', 'Representante Legal'), ('LEGISLACAO', '8.1')].",['o']
10,11," [('PESSOA', 'Ielton Carvalho Piancó'), ('LEGISLACAO', '13469-E/OAB-DF'), ('ORGANIZACAO', 'Grupo Ok Construções e Empreendimentos Ltda.')]",['o']
11,12," [('PESSOA', 'Ibaneis Rocha Barros Junior'), ('LEGISLACAO', '11555/OAB-DF'), ('PESSOA', 'Carlos Aureliano Motta de Souza')]",['o']
12,13," [('PESSOA', 'Carlos Aureliano Motta de Souza'), ('ORGANIZAÇÃO', 'Superior Tribunal Militar'), ('LEGISLACAO', 'Recurso de Reconsideração'), ('LOCAL', 'Rio de Janeiro'), ('TEMPO', '1ª Circunscrição Judiciária Militar')]",['o']
13,14," [('T': 'ORGANIZACAO', 'E': 'MINISTÉRIO PÚBLICO'), ('T': 'ORGANIZACAO', 'E': 'TCU'), ('T': 'ORGANIZACAO', 'E': 'STM'), ('T': 'TEMPO', 'E': '1999')]",['o']
14,15," [('Legislação', 'Tomada de Contas Especial')]",['o']
15,16," [('T': LOCAL, 'E': ILHA DO GOVERNADOR-RJ), ('T': ORGANIZACAO, 'E': 1ª CIRCUNSCRIÇÃO JUDICIÁRIA MILITAR)]",['o']
16,17, Nenhuma entidade predefinida foi encontrada.,['o']
17,18, Nenhuma entidade reconhecida.,['o']
18,19," [('T': PESSOA, 'E': DÉBITO), ('T': ORGANIZACAO, 'E': SOLIDÁRIO), ('T': TEMPO, 'E': MULTA)]",['o']
19,20, Nenhuma entidade foi detectada.,['o']
20,21, Nenhuma entidade foi encontrada.,['o']
21,22," [('T': Legislação, 'E': Contraditório)]",['o']
